square_feet,bedrooms,bathrooms,floors,house_age,garage_spaces,distance_city_center,school_rating,crime_rate,property_tax,parks_nearby,shopping_malls_nearby,public_transport_score,lot_size,neighborhood_quality,price
1784,5,1,2,13,1,5.1669411303421695,8.875310781207327,2.943481665153781,4305,2,2,4.2699954310539265,2893,1.9661076205111883,309982.60416942765
3985,4,3,1,2,1,21.58805912959314,6.527464323545789,7.633080771801298,5635,2,2,1.7627978210205524,2666,1.432106790482734,529273.5443313576
4717,3,3,2,37,0,16.47803699647189,2.6937998351187606,7.454670382070553,7395,2,2,5.182662785610227,5344,8.064209390056561,556346.7066303208
3504,2,1,1,17,2,5.171199658719016,3.567501972467918,2.458271326332163,3883,1,1,8.586141027524135,7591,4.462035623176906,466612.0959103694
1074,3,3,1,19,2,1.2680060637599166,5.28334027628467,7.288221800927454,6884,0,0,3.431842869737185,4065,1.9640126378361131,154985.89190296433
1682,4,1,2,24,2,24.43655442170217,9.589113564609708,7.477766382721008,1448,0,2,7.883757884686937,6075,7.864010347488779,233618.15468186437
3158,5,2,2,37,0,6.109637778763179,3.2261623463596854,3.9745392566702686,4310,3,1,2.6508467405121072,4075,8.642467631292586,474143.01224683
2647,3,2,1,12,1,18.580282624402212,7.584813135278992,2.1042048374151823,5585,1,1,7.063614347415863,2259,6.286475716829266,346785.3456107104
3347,5,1,1,3,0,10.770735479225621,4.955034009636282,5.212708068918691,2905,4,2,9.239836599374046,3220,2.4511312759118105,431557.1173987405
1575,5,2,1,13,2,17.97909221113603,3.680626135240196,9.213975880001964,5559,0,2,3.915352734091928,6441,1.1370022434234173,220556.74111219746
2406,1,2,2,32,0,10.153955182487397,5.103243433199024,6.396167324320619,5409,1,3,9.103704742797564,9978,7.307222331717495,289783.485000107
789,3,1,1,27,1,3.521247260075371,1.6408604578710928,1.729224976272612,4251,1,3,5.54878833873755,5935,5.951257073427851,140039.22396516096
3334,3,2,1,36,0,7.465550248174854,8.188186338373262,6.827569247335199,7051,0,1,3.8512461984909176,3447,6.857174275480716,430476.8576336975
3605,5,3,1,7,2,6.453698427893192,3.189717351846704,4.272030272818346,1384,3,3,9.068574116003782,4129,8.31866203179636,508173.9329319603
2499,4,3,2,33,1,13.412561220749671,7.528709108736734,5.91528797355373,1294,1,3,1.2883354009275536,2898,4.908049992936749,360557.5242156007
1867,1,1,1,4,0,20.090229719358565,1.6151353430337525,7.340640350231079,2238,2,2,1.252169661455294,8697,2.120639219502584,166384.1632676212
2128,5,2,2,4,0,8.650376173444368,9.595887005491175,5.149473515144448,5857,1,3,6.398466437856996,7691,9.459849568517438,306363.5428430098
3802,2,3,2,30,1,1.3500281237179206,2.7371348686512875,8.139839745733086,3816,4,1,8.170756455972109,5503,5.907359145221716,481926.30015676835
4156,2,3,1,8,1,16.04918356367795,8.944678685863725,7.221555793166278,2098,0,2,7.763916766942956,4949,6.537647071796862,565164.8145239854
4490,1,2,2,31,2,18.56702519141019,8.28525888653891,6.150733400185107,7487,4,3,1.7152255301644497,9010,9.40070286596576,547654.4343768003
1246,4,2,1,32,1,28.92324432605248,9.710739316732743,1.507928158323515,2737,3,3,9.55226074180202,8439,9.384252906792367,182926.6111658016
3488,5,3,2,2,2,18.09465328970416,5.301015948511747,8.359491109115684,3189,2,3,7.32757183873764,1016,6.148851460553562,458331.01403961214
3035,3,3,2,29,0,14.664004221966113,7.546575644613564,9.35905585319816,3765,0,0,9.542008483549651,8959,3.6785028224928347,367799.22256426257
1200,1,1,1,11,2,17.628647151033412,4.3363959133400565,1.3696512380929482,2222,1,3,3.961879830766919,7241,9.974022706114653,135070.29009154404
2963,4,1,1,28,0,27.909118265998785,2.6593141421772444,4.882411294334306,7038,2,3,7.245452151845357,8906,7.127353809581823,336644.8243532009
2661,3,3,1,2,1,25.022966222447742,4.98768339640104,2.5888874197050447,4242,1,1,8.739448720601366,4022,4.6759300920285085,344884.6318561528
841,2,1,2,25,0,10.366383267550432,2.491741138496094,7.545233074255647,7549,3,3,4.4241780083886395,2266,6.038531225682307,62335.02430052459
2641,2,3,2,29,1,7.88037654605698,9.838401605077456,7.216296360047,4899,0,0,9.683739268917131,1478,4.742506452412266,375905.72802065214
3424,3,3,1,8,0,8.616374758616136,1.8662184202664474,1.408851205703987,5323,3,2,3.384935120984869,5296,8.994746370669827,437452.89223692537
3212,1,1,1,25,0,15.628210151741177,6.302905511073583,8.770272712616372,1410,3,3,3.840522634190986,4977,5.342494373791715,314474.80525854847
1963,2,1,2,1,0,22.577434085628756,6.6381746972865034,1.8097306397800228,3999,3,3,9.282957189643348,7068,8.411755383831224,259345.3347267535
2078,5,2,2,2,0,15.593357008305901,5.842715885866488,7.972590256481075,3945,3,1,9.72693771852433,5274,8.561586680407036,232962.0616028715
3156,3,2,2,3,2,2.966095479015265,6.959672971406502,4.569803596280049,5786,1,3,3.5667617347463474,7413,8.418991039617236,432063.99481889454
1375,3,2,1,24,0,21.983840312759447,2.0456269751070186,3.2827229355815124,1877,4,3,2.227510356785726,8791,7.49969751228107,132284.60299317684
4614,2,3,2,12,2,24.373133731457663,5.99516671784762,1.582392626742135,1786,1,3,7.831498687395379,1485,8.693899451268237,595110.0884021512
634,1,1,1,38,1,9.39543808847187,3.584913140146254,1.676142561466294,3109,2,3,9.366987396704033,5673,4.485066216606723,105041.86654654678
3752,5,3,2,34,1,20.25964643921716,9.46158456970951,6.618905547009003,6446,3,2,6.406422793316872,1337,2.0319688552776434,515943.05011569784
2555,1,1,2,22,2,13.371165130577408,7.858644880957532,5.504303879471205,6835,2,1,6.71067058965622,7900,8.582087839352631,369458.2347764801
2185,4,3,1,8,1,26.784461316095843,9.752630339437683,1.220854216512327,2986,1,2,7.866490007550702,3003,5.483515741186108,363586.56190519047
4543,4,2,1,1,1,25.511541186661457,1.338004627661706,1.126978604383252,1878,3,0,2.377763369572674,2471,2.146384292750659,552314.9335311708
3673,2,2,1,30,0,16.237527950979626,3.566198576626378,0.7231057477279146,2607,1,3,9.761220068452655,7727,2.0378126996380717,447113.09665054904
1621,2,2,2,1,0,21.05366082859424,2.758803279745141,7.437673473735441,6709,3,0,4.278964462557353,3042,2.4331815460890343,218276.73924489916
4061,2,3,2,31,0,26.617141329641015,1.1003912858064746,7.118820852292892,3403,1,2,6.654163833480363,2519,7.758759337003952,476007.3679183673
3213,4,1,2,17,2,15.37579329226999,3.1809315722168927,0.5843099085457515,1070,0,0,5.2175441844999355,7489,7.3977100611965305,449410.29406211566
4443,1,1,1,12,2,10.084271474175837,7.10898385168386,5.60270075596973,3310,4,3,5.213628817883604,9893,2.834368121663949,551814.5072625917
2100,1,2,2,4,1,22.856317999377858,3.079800299211117,0.846761552426899,5401,4,0,7.324699349077493,5388,8.622310762988157,269229.4659798119
761,2,2,1,9,0,7.381921388756061,5.5810310093435636,9.037457706089416,7701,3,2,9.95196068985029,8856,3.531653159754204,61557.64281693126
4897,5,2,1,24,2,12.267403292175219,8.990363034684988,9.071174191801324,4295,0,3,6.931538654463564,2605,8.136870249834526,643699.5726504006
2581,1,2,1,33,2,26.106089876097016,7.243821283141677,6.982329898131301,1761,2,1,8.146532184154617,6664,5.399253169614477,302275.2453257755
1595,4,1,2,36,0,22.008247867810137,4.551661629154288,9.2618892143945,5683,0,2,1.248544515360431,7939,7.583938142847095,142225.81104736007
3942,3,3,2,29,2,12.710519152177477,4.352220450208975,8.114530304136906,3121,3,3,8.293846321583365,6117,4.432488967662093,492807.822746362
4398,3,3,1,6,0,7.227590569842365,5.101622326076362,8.285385759270493,4582,0,1,3.6997829359146746,6379,4.1242653738529835,586118.7580446746
1875,3,3,2,5,1,11.323083334134859,2.5933729695391574,5.6970785056993325,7285,2,0,2.140316605311984,3124,8.572236390633991,255937.6502336335
1616,5,3,1,2,1,9.239020327595556,6.706006906743893,3.0605919821617587,6704,3,0,2.0200067690293526,5991,1.3177202906266268,331971.2760540583
937,2,2,1,12,1,6.106589350371764,4.277375371941449,2.177991151164216,5197,4,0,7.11887332752664,7794,9.772632525317567,129554.17137106654
1478,4,2,2,2,0,22.556654493404043,8.671288143358392,3.272000220389292,2629,0,3,9.97855152436495,2446,6.833616024388361,212256.5264627439
1676,5,2,1,25,2,8.310026718654974,7.808973940520347,6.284954300890621,6700,4,0,6.995755885356097,4306,4.892350493794979,244604.56513411913
4593,4,3,1,23,1,14.170856634865151,6.494618476829441,1.7265653583239893,5288,4,0,3.3611333506009813,3372,6.652490780353827,612016.9725283122
979,4,2,2,5,1,12.189923958247164,4.277820003845645,2.586402366373216,2085,1,1,2.829753739026457,1150,2.104668518130845,157820.32142493548
1092,2,2,1,11,1,29.480243980433293,2.8893864850613595,4.680608627954644,3457,2,1,5.733613893412366,2659,5.626472097641928,118068.37660416952
2662,3,1,1,35,2,12.341675080298396,7.985366776950606,2.3305009852461556,5395,0,1,1.5853536941563298,7139,9.86585971005818,384706.50024904095
4484,2,1,1,1,2,3.319492001105889,5.377681890919779,5.886436697160616,4266,4,3,4.593977496344685,8199,3.117424940620362,554538.5621797107
664,5,2,1,10,0,3.604946824590437,3.0227503435962175,9.231760284563299,1453,4,2,6.996114136052087,3319,7.5005028913271445,58405.54493012551
3168,5,1,1,38,1,18.13185791923888,2.756571535360056,7.480893657031265,3621,2,0,9.708960482276357,3883,4.914742382485306,407866.74369974673
2627,5,1,1,33,2,18.381543000409703,2.4886081405122313,6.66426614148913,1618,4,0,4.830881030340446,8803,6.872123336391582,319554.7973905907
3295,2,2,1,25,0,13.144010723996994,7.994450765850355,5.827214759837788,1636,4,3,2.8020154636657595,2515,2.843985058225979,395967.9256563705
2095,4,2,2,17,1,13.52346707704886,3.060884667702805,4.879479092570649,3348,4,0,8.356261630355059,1589,5.234184843558421,288999.75115782354
991,4,2,2,20,2,2.564044902385265,5.739780371726777,1.8656385963465971,5874,4,3,7.697795723745548,1587,9.820834424733476,219520.24528990063
4161,1,2,1,35,2,15.979848801288606,5.063917248757508,8.947104554268655,6575,1,3,8.737334993842694,3619,2.757584359144086,479596.62746133044
2878,5,3,1,39,0,15.6374447860302,6.216498093054555,2.485360020128363,4036,1,3,2.932468547886029,6487,6.728005250638814,425740.701065144
3699,4,3,2,21,1,5.336930238151392,8.894394103340748,0.9130887757816075,3249,3,2,4.643489762648516,7223,6.180379738901158,541185.8918017693
800,1,2,2,29,1,4.0113421972169,8.809726510735576,7.500151792286952,3721,0,3,9.833989939507338,5353,6.08546427661363,142723.1424767651
3704,4,1,2,29,2,4.583602227385224,5.059684646423737,1.756155343311664,3349,2,2,2.4223808779873615,3605,6.536109606864554,499380.7894790293
3054,5,2,2,7,1,3.929819148246497,1.1382962566125099,3.71895999541176,7140,3,2,7.04305737239894,3538,5.520141763194053,414167.7299126186
4245,3,2,2,33,0,18.681537670566033,4.837994251428729,0.2828492829097973,6743,1,0,3.1346601539253762,9757,1.1523767523189221,567222.9872586745
1404,5,1,1,8,2,6.69799691968464,6.455741836817263,1.3706794254044807,5432,1,1,5.5014310565428985,2756,9.100871303168061,282847.13866709033
3331,2,3,2,19,2,8.29147441343644,6.019882831882556,1.7320363075991208,7175,1,2,8.204586812161192,2360,8.442809447356279,513827.70254027285
3373,4,2,2,39,0,6.033592180391752,6.86202495220185,0.5441012775017795,2994,3,2,5.397274473002371,3373,2.567509128290092,514310.19622704474
2170,4,2,2,24,2,28.777223829006587,2.3866815922577516,6.566569566228452,7103,1,1,8.249335239807191,2195,4.7194585964098215,248331.52966364077
3290,2,3,1,18,1,25.783906431403228,6.8188158890265935,8.370077958031173,6878,3,2,4.837014148963114,3131,7.934940826242111,360915.059494099
4440,2,3,1,4,1,7.684350283194106,2.64386456869395,3.7331540636594096,3820,1,1,9.994176368830296,9009,9.820560838485559,605619.6555435236
1628,3,1,1,10,2,10.499422523741654,7.754715826270741,8.745764767182006,2071,4,0,4.922454107981891,6643,9.560233417976077,240328.30049169587
1102,4,3,1,14,0,7.086892426844917,4.05178851936412,2.1334657456012653,3031,4,3,2.3444153077404377,4410,9.094232797085567,194951.37445685198
1470,4,3,1,7,0,15.264402824363888,7.389058900433082,3.253904235612395,6369,0,1,4.61682564084324,3367,2.4253650756922567,263462.9399606421
806,3,3,1,18,1,1.5687054417533544,1.430790390154964,1.5073699303116839,2249,1,3,7.683338661780071,4343,9.230275954081044,166541.39567647155
2084,1,1,2,22,0,20.469672258007076,4.67074023031822,6.205591954189986,2295,0,1,8.631439819827657,8281,8.906004216559715,244080.7506264816
1463,3,3,1,26,2,16.171586344711606,7.3453107003699944,4.198695908703068,7808,3,3,5.1409296925863615,4097,4.3925492004975055,231255.21620342968
3390,5,3,1,39,2,27.060528920731993,3.041834646983447,6.132833468418987,4556,0,0,6.350291569525957,2333,4.550703350826359,475531.3068654904
1163,4,1,2,31,1,5.76738784552401,8.157583403175003,7.616749053941836,1327,1,2,8.604010610436612,8165,5.139180297596447,194218.30889919907
4791,2,3,1,25,1,24.319168135772816,6.6770175979443875,5.457030160329484,1796,3,0,8.321915619984878,4336,6.905580678697753,630418.4374895897
2357,5,3,2,26,1,23.966869419534756,6.288055949348185,6.276303549017879,6299,3,2,6.919515148250195,9157,3.347520543847142,316136.4706715487
2278,4,1,2,18,0,4.68825448728972,4.181939687839034,9.352503143943329,3861,4,3,8.335243938257694,4084,1.2065358649595022,282526.25954589626
3842,3,2,1,28,2,12.5582175001797,5.342063233430058,2.990643096088431,5760,3,3,6.183196825317733,4387,2.27106572137518,498313.79552728456
1659,5,1,2,38,2,5.93442659319099,6.376143708800678,3.5916393863395313,3793,3,2,1.0418335203275257,5713,4.9610431681909635,291830.17469562864
2322,4,3,2,32,2,8.386894513268917,5.252159025234014,7.177033617093369,4094,0,1,1.3714010596200088,8805,3.5380231248358163,356868.60143672116
3914,1,3,2,18,1,8.634139070085787,7.284819915465041,6.113055170553867,3977,3,0,9.818275593143648,6101,7.880649049325187,556984.9136073003
3757,1,3,2,36,2,17.13085542674741,4.9032723979626365,1.7853290453971482,1962,2,1,2.304928378024347,3431,1.9602106349434423,509238.1437629313
3225,2,1,1,18,0,12.9309170210535,2.820458635678273,3.7614731001049018,6725,4,3,4.640647679411165,2016,9.257187029993235,398392.03148567193
3329,4,3,2,32,0,28.484251316182856,2.925404045209425,4.67838013124715,6489,4,0,9.404301475089712,1641,9.0579446194952,399973.2491448757
2197,1,3,1,15,2,4.664734116463149,1.0522339195864698,4.193898379683894,2268,3,0,2.755355362597445,5062,9.178811352399594,312042.0001599236
3660,3,1,2,22,1,29.237071910655764,3.708619440028052,1.782748083220408,6279,0,1,8.594122100198508,9507,7.65648998742994,432191.8926225342
3293,4,2,2,6,2,7.688520566213654,7.7402587643066765,9.244300917842622,1372,4,2,8.364408113436314,1440,1.9629997433523938,442091.36144104775
4227,3,2,2,25,0,23.41334415507374,8.147464379538485,7.6231876169397585,5380,4,2,9.876966890962057,2138,4.943238142326101,511278.63349988253
1963,3,3,1,31,0,10.83012785901182,2.82220787886175,4.813558321078522,3568,2,0,3.535136502833515,6243,2.1826483462491737,262269.777961752
2581,1,1,1,11,0,5.149360467102103,9.63139597184267,6.800610283068366,7840,3,2,3.8379281984213134,3303,9.889292734849743,326232.88887437043
2263,4,3,1,7,2,25.878786372140958,5.521625141321141,8.972826721355219,5902,4,3,9.125902009520079,6950,3.9973458105880595,278094.8625185689
2129,5,1,2,4,0,9.956966077857434,9.252808741166524,1.3617414236157122,5742,4,1,3.106711532820516,8046,6.267974877010559,329703.29908413097
2638,1,1,2,27,1,20.106806722578423,7.36088753675468,2.503730507069777,4693,4,1,5.931108612883982,7606,8.014537488197996,350158.0037191736
3902,1,2,2,4,2,17.42686686751217,7.501900807201718,5.42701247256645,2604,4,1,7.366104632719506,4421,9.28554475803081,492414.95582954737
2837,4,2,2,25,2,14.680932972335356,1.7653925917546403,7.990103713523586,7279,0,0,3.446958207365971,3078,7.79992953257224,356915.69646344293
1906,4,1,1,4,0,15.378764706807633,2.979920142072376,0.3625489544152738,1095,1,0,9.44571650900283,7103,7.070534008896138,236178.133236129
4629,3,3,2,21,0,22.23489950867634,1.0793334996502537,9.840181501963606,5369,2,2,6.991277932665283,5150,5.1938360383433615,530994.7646037611
3275,4,2,1,14,1,3.5454145095797767,7.4451487642906375,4.5490660288239715,4941,0,1,1.4242537744284254,3200,6.448601203754716,479899.9218800306
1882,3,3,2,12,2,20.37723919677925,4.09994459585659,3.59231140621723,7993,2,3,2.2216377813482255,5551,1.8474742796754684,263472.29228842875
1309,1,2,1,27,0,26.978550940558783,8.079872644687121,2.9272443783977184,2200,4,3,2.7170341308240724,7429,8.955302877651363,204732.14421874782
4348,2,2,1,32,1,2.67585771357606,4.0504259794332365,1.7435670765087163,4944,2,1,3.2046162759410475,9227,5.893995779558969,536670.8996507716
1263,5,3,2,22,0,5.078946837776336,8.37400377068975,7.915739089300279,6868,3,0,7.576096330264928,2946,1.3612154539144843,238549.29426820503
2598,1,2,2,32,2,21.78232616435891,2.176284283734817,9.554141647460966,5879,3,0,1.800417202799213,4956,9.279119130939078,282453.8736568267
4045,4,2,1,17,0,13.68116779909391,2.5603584108175736,4.136447548453982,6396,1,0,4.15535205048521,3225,5.403717764531818,522715.9822567104
4343,5,3,2,29,2,12.702910003596962,4.067888856255428,9.524206947534562,1131,1,3,9.202449909952016,8715,8.817302274049016,563948.4297541137
2095,2,2,2,25,0,4.97203240178284,4.67638649994046,8.237976154350342,4115,2,1,6.010009177033036,4325,8.711991587848212,268185.62106818496
3904,2,2,1,15,2,15.696331180815854,4.138325297586805,4.810511274763183,2390,0,3,3.3894690745468212,9699,8.341764287114033,507468.8947940779
4363,3,2,1,12,1,4.66981402469494,7.872823292708979,6.740261791261327,7516,0,1,9.613506668322788,4745,1.5526271736582047,559884.9041986858
2453,5,3,1,38,2,14.82199323300567,1.8725625336404323,4.3498417917046295,2149,4,3,3.1988430277181417,9160,3.22359980881788,360613.84610386024
1891,3,1,1,32,1,23.144843669888044,4.160953176746393,5.587234082125524,4510,0,3,9.145896591408786,5814,8.879930852188878,211658.10312861114
4181,1,3,2,25,2,8.489666378727742,8.535159995639134,0.5804633701850381,6906,1,2,7.531927062531,9651,9.090919504468845,572477.8556249347
4057,5,1,1,0,1,14.942798877212091,1.601173695359548,6.962634753005331,7126,0,3,7.6646893326290755,7103,5.122619761319255,503565.22694360197
2236,1,2,1,37,0,29.768463112508236,9.481091569042217,0.5282464448413671,4647,4,1,7.884453865614545,2405,4.9603732088878205,281203.59801262437
4296,3,1,1,1,2,20.91286227726708,9.876851580448117,8.170849469196495,1807,3,3,5.559123808514883,7090,2.5762657049753477,496925.4135677416
3599,5,3,2,5,0,25.39934636785076,1.7971135644257208,8.249469294605575,5839,0,2,8.331208534024018,8287,9.715697098220362,416538.3768101551
3752,3,3,1,37,1,13.030580590255827,3.621452700301633,2.370772875562146,1050,0,2,8.525737879772413,3036,2.9182462782313885,492712.7142301989
1298,5,2,2,23,2,23.267966770649803,4.351605994318206,3.2366278103580024,4208,1,1,4.244380495085053,7034,2.71843105915689,224895.2819415876
2760,3,1,1,17,2,2.1747660152983332,7.987522317874535,4.813103785582933,6277,2,2,4.6031006639473775,3677,6.946560731342569,397160.215870857
4697,2,2,1,26,0,4.5644242937251045,6.363341309050604,5.9666290693248145,1055,3,2,8.998810466851232,7144,3.185598727004029,622209.1093863279
1454,3,2,2,7,2,6.889047194681802,6.7992913044331065,2.8735366174199672,4664,2,0,5.722563343865718,2744,9.448944499129508,237252.4811862013
4074,2,3,1,27,2,12.656605813841367,7.817588405366553,5.92486404631925,1743,4,1,8.802491463476821,2177,1.0981629578601533,559664.0795128451
2307,3,1,1,9,0,25.526601471447133,2.0618109949332313,2.9778707322929887,7571,4,2,6.640925155820266,1761,1.0517793609097117,317043.2152018792
3377,5,1,2,16,2,11.041715472849985,8.498885112192362,0.5549072107106068,5538,2,2,6.342109810741381,5778,5.543891212920396,509887.2934828304
2333,5,1,1,28,0,19.984014611948425,7.3505782376212965,0.025275498319089484,7030,1,2,1.278828579500757,7458,5.392562139221248,358800.91072243906
4110,5,1,1,5,0,21.570114549301017,6.196075526767332,1.011510579184286,7469,1,1,3.5010495805667476,6623,2.4702761971081943,552829.9277654528
802,4,2,1,13,0,17.9992882685619,9.00761801304751,7.922507001640183,7783,1,0,5.518518822120863,5714,5.4506760667325596,91380.45796811592
3855,1,2,1,21,0,11.36001707693395,7.302757184954264,9.614313123833371,6757,3,3,6.285854549212308,4726,4.704949946529878,460809.9058534188
4818,5,3,2,5,0,17.734546909692785,2.8152996636792285,4.269661992812193,3876,4,0,6.673910761006607,2933,9.01296572808132,628008.8969623167
1366,2,2,1,25,1,10.92570219090264,4.8677084296810005,5.126839534499428,1079,4,1,7.446005425104554,4561,1.0832852819526713,183324.31335713752
4989,5,2,2,38,1,3.4323384180083503,5.4463858024216,1.4684816907342613,7617,4,1,6.906100890642687,8179,9.78642824529657,679087.1528568539
2927,4,3,1,11,0,29.791315367394418,1.4969586407536508,5.51031352680157,5472,3,1,8.637190366562203,5444,6.6195348786625825,359449.6325879092
3531,2,3,2,34,1,4.688291155342816,9.591737620240501,1.4465490200697684,4940,4,3,3.6592330859876205,3964,2.366591010807481,505728.18785781605
797,4,3,1,13,1,3.0981031312456633,2.157195347171906,6.112143311988301,3966,2,1,6.774129870993032,8224,1.4208401243004962,193117.67938308805
2530,2,2,2,21,2,26.47739172700752,7.2771514050405415,9.332586675808539,7476,0,0,1.4604356277664416,9781,5.842950927033087,289986.24851029046
4182,3,2,1,22,0,9.75320516589396,5.556079324817921,1.956985393030396,4728,3,2,5.321710695898251,4101,3.114011493746381,531948.9475853588
1208,1,3,2,6,1,19.85861224813172,1.2306902489598033,7.64563718057102,5536,0,2,3.4122966935670327,4897,3.710489833011333,110596.84091797165
3872,1,3,2,39,2,10.541166160204753,9.322727282779255,0.23502422818324042,1125,2,1,4.4279843346522645,4678,3.2061894835106224,553963.4477304077
1747,4,3,1,24,2,12.352173853039663,8.6665312793704,3.75497241321621,6813,1,1,4.191964765884632,2843,6.851550822152597,351231.0348767361
4882,1,2,2,12,0,8.601276188487098,5.71832135113452,1.1074850783050905,1218,1,3,1.5438760943737395,2938,5.981760659045202,611784.8798943729
3997,4,2,1,20,0,10.948276167997296,3.060481025255007,3.5247544159569943,1947,1,2,5.199812206762379,9444,1.7017698116963036,516048.22661355376
3111,4,1,1,9,2,12.91031161700975,2.0946060161208484,1.7353691963888351,5373,3,3,9.95166359192398,8866,5.738738798576579,406068.25507456245
2394,4,2,1,8,0,21.892066003677943,4.27053231488914,3.733049901228874,1594,1,3,3.6904245115283523,8083,8.1207078900697,318702.349970121
1259,1,2,1,14,0,15.834549632808962,3.2988545294148146,4.175228061075304,6030,3,3,7.625313745014256,6372,1.7307513173829188,136240.9086798281
3411,4,2,1,1,2,28.363391297552333,5.5602208090566885,3.0059112278091837,7114,3,3,5.930095014283921,2466,9.00765078607378,422571.8095327203
1969,1,3,2,24,2,2.21453142132449,9.69768366511086,6.566219494731291,1140,0,0,3.927027704783263,1735,6.204759845029562,301469.9274238623
2586,4,2,1,12,0,15.588981356328818,6.174581439066772,9.188520512589097,3893,1,1,1.8064635435317906,1339,9.55562022343285,309707.42402790766
746,5,3,1,33,1,17.942518876119827,9.009379503010882,4.005953741052723,4055,4,1,2.9427211068869115,2376,2.3332709595013807,161795.29602296543
3819,4,1,1,33,0,27.685712596153945,6.857909537461995,1.9234315647502143,2630,1,3,8.036681855412196,5719,9.942084994179837,467957.8943638083
3511,2,1,1,34,1,2.4255971850213998,5.2772187392848044,2.7072275819598337,1876,1,3,3.511181596767808,1704,6.798455793727092,490598.22221028246
2334,4,3,1,37,2,17.631487963121266,8.691468064600341,8.54000823496369,6825,1,0,2.2987223417066787,4724,6.107447795329565,323099.5024666633
2443,3,3,1,2,1,25.755267927310754,5.242312991556978,5.716397232701479,5205,4,3,3.981685064146058,9189,5.637516617008768,288163.6952246844
1088,4,3,2,5,2,8.015904115457861,8.817653534593248,4.550110323069573,6171,4,0,6.256386570049212,5418,1.2128893578848148,218523.3679045664
3576,2,2,2,18,0,26.412478107194186,3.6241909261818877,1.496367215089267,3660,3,0,7.331168478609992,6259,9.456752723946202,435028.141100204
2559,2,1,1,2,0,1.5522588689544627,2.159317663866893,4.497273083237819,7856,4,3,4.486283532726221,1552,6.795950255687785,291565.7662677337
2985,1,3,2,17,2,22.241184244878163,8.697830179266445,2.784920033573867,7089,3,1,5.483324413705141,4491,1.824638360493621,441231.90137168684
3519,5,2,1,38,2,28.06028341389094,6.286736474134001,9.431631278533493,4390,0,0,5.094250228301154,1789,1.1885695326507242,444923.2861432792
2402,4,1,1,8,2,20.058732187561805,9.001831584240641,8.840701094157312,6318,3,1,1.081030149310842,2173,1.457052753130762,330850.24075935397
4661,1,2,1,11,0,13.73184807543299,9.440444862931448,0.8390254182819801,5891,1,1,4.560404273702634,1552,6.4845618708901664,621027.912745571
3969,5,1,1,4,0,2.301549477708823,1.4826555133430426,5.166534892612429,3029,2,0,6.285878291548738,4422,6.526138734051267,466050.4853604086
862,4,2,1,2,1,27.683300586356236,5.508723716729815,2.250583455146721,5824,2,2,6.129502447741849,5211,5.49700562603297,168569.6075576798
1223,3,1,2,10,2,14.638590458055669,4.374680941670763,4.107770895242906,3552,1,0,7.747908025008221,9823,3.7608923858765637,154330.46033134428
1616,4,1,2,29,1,1.8409055857424923,6.632725573631054,8.768479982514565,4611,3,2,7.0333831939180484,1269,5.785684584531772,209378.72193902632
4243,2,2,2,3,0,21.004811068534096,8.142320774820911,5.275145198885448,6633,1,0,3.4912611740453836,1860,5.646716387886321,524062.4682239471
2649,2,3,2,4,1,14.973280353711488,3.5253119437693208,3.3421529337075984,2040,4,0,3.3007930440306636,1290,1.1747400388890905,382729.5254088734
